F_id,C_id,label,value
384,243,factor,0.059337078
385,243,factor,0.072795925
377,180,factor,0.03888962
383,222,factor,0.018194394
384,222,factor,0.087225319
385,222,factor,0.080212183
386,222,factor,0.07135051
387,222,factor,0.013357487
388,222,factor,0.069762836
378,198,factor,0.039218963
379,198,factor,0.12133711
380,198,factor,0.004301598
376,184,factor,0.000959916
376,243,factor,0.000230488
381,220,factor,0.005680995
386,207,factor,0.127571301
387,207,factor,0.00314858
388,207,factor,0.12094706
386,203,factor,0.12619076
387,203,factor,0.004224333
388,203,factor,0.077119954
376,194,factor,0.001594222
389,194,factor,0.080892629
392,194,factor,0.011114191
393,194,factor,0.011308428
394,194,factor,0.205202024
392,216,factor,0.003183944
395,238,factor,0.001506142
393,216,factor,0.011544871
394,216,factor,0.154514289
382,216,factor,0.046032236
383,216,factor,0.009326082
384,216,factor,0.064364397
385,216,factor,0.07559105
386,216,factor,0.065260767
387,216,factor,0.014689191
388,216,factor,0.064534956
379,207,factor,0.076877663
380,207,factor,0.001147117
393,242,factor,0.096827425
394,242,factor,0.112732407
382,242,factor,0.071293247
383,242,factor,0.018610786
384,242,factor,0.082292638
385,242,factor,0.177229882
386,242,factor,0.13947892
387,242,factor,0.002371651
388,242,factor,0.147578025
380,242,factor,0.001129195
377,199,factor,0.014966251
378,199,factor,0.03371937
379,199,factor,0.051724436
390,199,factor,0.012217911
391,199,factor,0.026690782
395,199,factor,0.001333757
378,205,factor,0.055645904
379,205,factor,0.073543805
380,205,factor,0.001986862
376,180,factor,0.007960921
389,180,factor,0.097346795
392,180,factor,0.00750973
393,180,factor,0.10246651
393,203,factor,0.03495312
394,203,factor,0.050670634
382,203,factor,0.047642293
383,203,factor,0.00621562
384,203,factor,0.146453761
385,203,factor,0.114744076
376,172,factor,0.004186058
389,172,factor,0.080966466
376,244,factor,0.002131822
389,244,factor,0.091930894
390,241,factor,0.010105086
391,241,factor,0.027935249
393,263,factor,0.011225184
394,263,factor,0.167837536
382,263,factor,0.065863547
383,263,factor,0.015415774
384,263,factor,0.064379167
385,263,factor,0.080377784
386,263,factor,0.063073913
387,263,factor,0.011231083
388,263,factor,0.064696078
378,241,factor,0.037490916
379,241,factor,0.071316803
380,241,factor,0.002231812
394,205,factor,0.113316397
382,205,factor,0.022669827
383,205,factor,0.009566908
376,222,factor,0.000357627
389,222,factor,0.015264742
392,222,factor,0.005441052
393,222,factor,0.010952166
386,267,factor,0.129546609
387,267,factor,0.004553489
388,267,factor,0.072834282
395,285,factor,0.001907928
381,177,factor,0.00332566
378,233,factor,0.046300362
379,233,factor,0.088915577
389,187,factor,0.075444458
392,187,factor,0.00751481
393,187,factor,0.03582106
377,187,factor,0.008248626
381,203,factor,0.019516965
382,226,factor,0.042240264
383,226,factor,0.014626852
384,226,factor,0.093946342
385,226,factor,0.10773178
386,226,factor,0.057415269
387,226,factor,0.004234542
388,226,factor,0.077117563
386,243,factor,0.073856476
387,243,factor,0.017004223
388,243,factor,0.056786221
390,203,factor,0.016393239
391,203,factor,0.015993298
395,203,factor,0.003173712
390,253,factor,0.011142526
391,253,factor,0.027400627
395,233,factor,0.001212265
390,301,factor,0.009314947
391,301,factor,0.020158122
390,270,factor,0.008201685
391,270,factor,0.017789572
389,262,factor,0.048842859
392,262,factor,0.010008754
393,262,factor,0.014576563
376,294,factor,0.002327025
389,294,factor,0.009332483
376,259,factor,0.0659878
389,259,factor,0.0962729
392,259,factor,0.010230875
393,259,factor,0.187116747
395,269,factor,0.00170878
394,179,factor,0.151493933
382,179,factor,0.034234464
383,179,factor,0.007339979
384,179,factor,0.064156248
385,179,factor,0.176379055
386,179,factor,0.10696034
390,237,factor,0.011516579
391,237,factor,0.036538028
395,237,factor,0.002962114
394,294,factor,0.128526541
382,294,factor,0.088759285
383,294,factor,0.033690506
384,294,factor,0.064758215
385,294,factor,0.182161937
386,294,factor,0.137172376
387,294,factor,0.009426983
388,294,factor,0.103389869
395,222,factor,0.001905734
381,301,factor,0.011896705
377,301,factor,0.019942607
394,220,factor,0.131471579
382,220,factor,0.046873027
383,220,factor,0.065582927
384,220,factor,0.097584461
385,220,factor,0.082204052
386,220,factor,0.112958404
387,220,factor,0.010541579
388,220,factor,0.080275627
377,237,factor,0.015281869
381,178,factor,0.0075295
377,244,factor,0.03014428
378,244,factor,0.039262368
379,244,factor,0.0816276
395,194,factor,0.001048741
395,253,factor,0.001781454
380,294,factor,0.003762561
390,172,factor,0.009793814
391,172,factor,0.029953812
395,172,factor,0.001248813
378,259,factor,0.024617132
379,259,factor,0.024738117
380,259,factor,0.001765214
377,182,factor,0.002696399
378,182,factor,0.057175834
379,182,factor,0.079842915
382,188,factor,0.042028873
383,188,factor,0.004840565
384,188,factor,0.151742132
385,188,factor,0.10884026
386,188,factor,0.135463151
387,188,factor,0.004466036
388,188,factor,0.078459528
390,174,factor,0.003444893
391,174,factor,0.017193928
376,207,factor,0.038623607
380,216,factor,0.003983391
377,258,factor,0.025851096
378,258,factor,0.034620289
379,258,factor,0.079998426
381,184,factor,0.009390632
394,222,factor,0.121830992
382,222,factor,0.064336958
379,222,factor,0.033393946
380,222,factor,0.004805455
377,246,factor,0.019831936
390,206,factor,0.007353999
391,206,factor,0.032421533
395,206,factor,0.001833078
390,216,factor,0.005328646
391,216,factor,0.036461199
395,216,factor,0.001994199
381,214,factor,0.007366475
381,225,factor,0.008911901
377,225,factor,0.022055963
381,233,factor,0.004380484
386,303,factor,0.083009035
387,303,factor,0.011247683
388,303,factor,0.063649399
391,259,factor,0.010251518
395,259,factor,0.005623498
380,292,factor,0.00141004
395,258,factor,0.001046318
394,238,factor,0.113453105
378,238,factor,0.035990483
379,238,factor,0.061963355
380,238,factor,0.002670008
386,178,factor,0.084934187
387,178,factor,0.004052782
388,178,factor,0.111079495
390,242,factor,0.006637723
391,242,factor,0.01575977
395,242,factor,0.001109078
392,214,factor,0.00493357
393,214,factor,0.008938774
385,258,factor,0.156001435
386,258,factor,0.139979372
387,258,factor,0.012977206
388,258,factor,0.15579081
393,199,factor,0.009810029
394,199,factor,0.129898631
382,199,factor,0.06364046
383,199,factor,0.014837257
384,199,factor,0.083169504
385,199,factor,0.109314407
386,199,factor,0.080463671
387,199,factor,0.014154213
388,199,factor,0.0790428
377,177,factor,0.003615009
378,177,factor,0.045321047
379,177,factor,0.045084878
378,187,factor,0.043189453
379,187,factor,0.036017263
380,187,factor,0.001805847
384,233,factor,0.115174393
385,233,factor,0.171180955
386,233,factor,0.13912905
387,233,factor,0.003235798
388,233,factor,0.146293257
376,242,factor,0.008923252
